(0.9, (0.0, 0.0), (1777.1666666666667, 48.454388632793396), (46515.73333333333, 15317.12660956138))
{'evals': 9907, 'mintrap': 0, 'local': 1706, 'fitness': 1.0}
{'evals': 37783, 'mintrap': 0, 'local': 1820, 'fitness': 1.0}
{'evals': 38125, 'mintrap': 0, 'local': 1810, 'fitness': 0.990928}
{'evals': 23719, 'mintrap': 0, 'local': 1811, 'fitness': 1.0}
{'evals': 29727, 'mintrap': 0, 'local': 1793, 'fitness': 1.0}
{'evals': 62174, 'mintrap': 0, 'local': 1725, 'fitness': 1.0}
{'evals': 43907, 'mintrap': 0, 'local': 1727, 'fitness': 0.99495}
{'evals': 65620, 'mintrap': 0, 'local': 1656, 'fitness': 1.0}
{'evals': 50564, 'mintrap': 0, 'local': 1784, 'fitness': 1.0}
{'evals': 70252, 'mintrap': 0, 'local': 1757, 'fitness': 1.0}
{'evals': 37829, 'mintrap': 0, 'local': 1861, 'fitness': 1.0}
{'evals': 28951, 'mintrap': 0, 'local': 1842, 'fitness': 1.0}
{'evals': 58593, 'mintrap': 0, 'local': 1749, 'fitness': 1.0}
{'evals': 54583, 'mintrap': 0, 'local': 1780, 'fitness': 1.0}
{'evals': 77880, 'mintrap': 0, 'local': 1756, 'fitness': 1.0}
{'evals': 54030, 'mintrap': 0, 'local': 1801, 'fitness': 1.0}
{'evals': 44307, 'mintrap': 0, 'local': 1831, 'fitness': 1.0}
{'evals': 47447, 'mintrap': 0, 'local': 1819, 'fitness': 1.0}
{'evals': 26440, 'mintrap': 0, 'local': 1797, 'fitness': 1.0}
{'evals': 52328, 'mintrap': 0, 'local': 1817, 'fitness': 1.0}
{'evals': 53927, 'mintrap': 0, 'local': 1726, 'fitness': 1.0}
{'evals': 46628, 'mintrap': 0, 'local': 1828, 'fitness': 1.0}
{'evals': 13857, 'mintrap': 0, 'local': 1858, 'fitness': 1.0}
{'evals': 56986, 'mintrap': 0, 'local': 1779, 'fitness': 1.0}
{'evals': 43682, 'mintrap': 0, 'local': 1746, 'fitness': 1.0}
{'evals': 24948, 'mintrap': 0, 'local': 1761, 'fitness': 1.0}
{'evals': 53204, 'mintrap': 0, 'local': 1752, 'fitness': 1.0}
{'evals': 54477, 'mintrap': 0, 'local': 1750, 'fitness': 0.99522}
{'evals': 51807, 'mintrap': 0, 'local': 1780, 'fitness': 0.998605}
{'evals': 35162, 'mintrap': 0, 'local': 1764, 'fitness': 1.0}
{'evals': 35875, 'mintrap': 0, 'local': 1790, 'fitness': 1.0}
{'evals': 69504, 'mintrap': 0, 'local': 1697, 'fitness': 1.0}
{'evals': 67835, 'mintrap': 0, 'local': 1836, 'fitness': 1.0}
{'evals': 55648, 'mintrap': 0, 'local': 1752, 'fitness': 1.0}
{'evals': 62072, 'mintrap': 0, 'local': 1759, 'fitness': 1.0}
{'evals': 44045, 'mintrap': 0, 'local': 1679, 'fitness': 1.0}
{'evals': 38554, 'mintrap': 0, 'local': 1805, 'fitness': 0.995518}
{'evals': 47172, 'mintrap': 0, 'local': 1751, 'fitness': 0.997792}
{'evals': 45787, 'mintrap': 0, 'local': 1743, 'fitness': 1.0}
{'evals': 8210, 'mintrap': 0, 'local': 1867, 'fitness': 1.0}
{'evals': 56521, 'mintrap': 0, 'local': 1741, 'fitness': 1.0}
{'evals': 46574, 'mintrap': 0, 'local': 1831, 'fitness': 1.0}
{'evals': 31065, 'mintrap': 0, 'local': 1795, 'fitness': 1.0}
{'evals': 93399, 'mintrap': 0, 'local': 1732, 'fitness': 1.0}
{'evals': 30322, 'mintrap': 0, 'local': 1840, 'fitness': 0.999156}
{'evals': 33319, 'mintrap': 0, 'local': 1834, 'fitness': 1.0}
{'evals': 39692, 'mintrap': 0, 'local': 1806, 'fitness': 1.0}
{'evals': 41165, 'mintrap': 0, 'local': 1829, 'fitness': 1.0}
{'evals': 28379, 'mintrap': 0, 'local': 1693, 'fitness': 1.0}
{'evals': 63551, 'mintrap': 0, 'local': 1749, 'fitness': 1.0}
{'evals': 38274, 'mintrap': 0, 'local': 1745, 'fitness': 1.0}
{'evals': 41196, 'mintrap': 0, 'local': 1707, 'fitness': 1.0}
{'evals': 26856, 'mintrap': 0, 'local': 1780, 'fitness': 1.0}
{'evals': 31527, 'mintrap': 0, 'local': 1880, 'fitness': 1.0}
{'evals': 85937, 'mintrap': 0, 'local': 1732, 'fitness': 0.999175}
{'evals': 52202, 'mintrap': 0, 'local': 1680, 'fitness': 1.0}
{'evals': 43735, 'mintrap': 0, 'local': 1787, 'fitness': 1.0}
{'evals': 37978, 'mintrap': 0, 'local': 1738, 'fitness': 1.0}
{'evals': 48676, 'mintrap': 0, 'local': 1765, 'fitness': 0.998119}
{'evals': 48786, 'mintrap': 0, 'local': 1766, 'fitness': 1.0}
{'evals': 46541, 'mintrap': 0, 'local': 1780, 'fitness': 1.0}
{'evals': 62741, 'mintrap': 0, 'local': 1756, 'fitness': 1.0}
{'evals': 70508, 'mintrap': 0, 'local': 1747, 'fitness': 1.0}
{'evals': 24395, 'mintrap': 0, 'local': 1852, 'fitness': 1.0}
{'evals': 39630, 'mintrap': 0, 'local': 1730, 'fitness': 1.0}
{'evals': 64000, 'mintrap': 0, 'local': 1747, 'fitness': 1.0}
{'evals': 42681, 'mintrap': 0, 'local': 1778, 'fitness': 1.0}
{'evals': 61518, 'mintrap': 0, 'local': 1722, 'fitness': 1.0}
{'evals': 62780, 'mintrap': 0, 'local': 1788, 'fitness': 0.999988}
{'evals': 47570, 'mintrap': 0, 'local': 1738, 'fitness': 1.0}
{'evals': 42845, 'mintrap': 0, 'local': 1840, 'fitness': 1.0}
{'evals': 55143, 'mintrap': 0, 'local': 1711, 'fitness': 1.0}
{'evals': 48396, 'mintrap': 0, 'local': 1823, 'fitness': 1.0}
{'evals': 37842, 'mintrap': 0, 'local': 1836, 'fitness': 1.0}
{'evals': 58882, 'mintrap': 0, 'local': 1768, 'fitness': 1.0}
{'evals': 29085, 'mintrap': 0, 'local': 1856, 'fitness': 1.0}
{'evals': 51082, 'mintrap': 0, 'local': 1711, 'fitness': 1.0}
{'evals': 42591, 'mintrap': 0, 'local': 1781, 'fitness': 1.0}
{'evals': 56577, 'mintrap': 0, 'local': 1761, 'fitness': 1.0}
{'evals': 30687, 'mintrap': 0, 'local': 1724, 'fitness': 1.0}
{'evals': 70192, 'mintrap': 0, 'local': 1744, 'fitness': 1.0}
{'evals': 56090, 'mintrap': 0, 'local': 1772, 'fitness': 1.0}
{'evals': 24092, 'mintrap': 0, 'local': 1882, 'fitness': 1.0}
{'evals': 37504, 'mintrap': 0, 'local': 1773, 'fitness': 1.0}
{'evals': 34808, 'mintrap': 0, 'local': 1813, 'fitness': 1.0}
{'evals': 56459, 'mintrap': 0, 'local': 1786, 'fitness': 1.0}
{'evals': 43453, 'mintrap': 0, 'local': 1747, 'fitness': 1.0}
{'evals': 66773, 'mintrap': 0, 'local': 1765, 'fitness': 1.0}
{'evals': 51644, 'mintrap': 0, 'local': 1706, 'fitness': 1.0}
{'evals': 40400, 'mintrap': 0, 'local': 1741, 'fitness': 1.0}
{'evals': 32271, 'mintrap': 0, 'local': 1808, 'fitness': 1.0}
{'evals': 28214, 'mintrap': 0, 'local': 1803, 'fitness': 1.0}
{'evals': 47978, 'mintrap': 0, 'local': 1804, 'fitness': 1.0}
{'evals': 49555, 'mintrap': 0, 'local': 1821, 'fitness': 1.0}
{'evals': 39011, 'mintrap': 0, 'local': 1761, 'fitness': 1.0}
{'evals': 50858, 'mintrap': 0, 'local': 1785, 'fitness': 1.0}
{'evals': 71628, 'mintrap': 0, 'local': 1832, 'fitness': 1.0}
{'evals': 46823, 'mintrap': 0, 'local': 1794, 'fitness': 1.0}
{'evals': 66339, 'mintrap': 0, 'local': 1800, 'fitness': 1.0}
{'evals': 55887, 'mintrap': 0, 'local': 1812, 'fitness': 1.0}
